NO,SOAL,PILIHAN A,PILIHAN B,PILIHAN C,PILIHAN D,KUNCI,timer,GAMBAR
1,Bagian alat kelamin pria yang berfungsi sebagai tempat pembentukan sperma adalah...,Penis,Skrotum,Testis,Uretra,C,60,
2,Peristiwa pelepasan sel telur dari ovarium disebut...,Menstruasi,Ovulasi,Fertilisasi,Implantasi,B,60,
3,Tempat terjadinya pembuahan (fertilisasi) pada manusia adalah...,Ovarium,Uterus (Rahim),Tuba fallopi,Vagina,C,60,
4,Hormon yang memicu penebalan dinding rahim adalah...,Progesteron,FSH,LH,Testosteron,A,60,
5,Penyakit pada sistem reproduksi yang disebabkan oleh virus HIV adalah...,Sifilis,Gonore,AIDS,Herpes,C,60,
6,Bagian organ reproduksi wanita yang berfungsi sebagai tempat berkembangnya janin adalah...,Ovarium,Oviduk,Uterus,Serviks,C,60,
7,Cairan yang melindungi bayi dari guncangan selama dalam kandungan disebut...,Air ketuban (amnion),Darah,Plasenta,Tali pusar,A,60,
8,Masa ketika organ reproduksi mulai berfungsi matang disebut masa...,Balita,Pubertas,Dewasa,Manula,B,60,
9,Saluran yang menghubungkan testis dengan kantong sperma adalah...,Uretra,Vas deferens,Epididimis,Penis,B,60,
10,Organ reproduksi luar pada wanita adalah...,Ovarium,Tuba fallopi,Vulva,Uterus,C,60,
11,Perkembangbiakan tumbuhan tanpa melalui proses perkawinan disebut...,Generatif,Vegetatif,Polinasi,Fertilisasi,B,60,
12,"Jahe, kunyit, dan lengkuas berkembang biak dengan cara...",Umbi lapis,Umbi batang,Akar tinggal (Rhizoma),Geragih,C,60,
13,Tumbuhan pisang berkembang biak menggunakan...,Tunas,Biji,Daun,Akar,A,60,
14,Alat kelamin jantan pada bunga disebut...,Putik,Benang sari,Mahkota,Kelopak,B,60,
15,Hewan berikut yang berkembang biak dengan cara membelah diri adalah...,Ayam,Kucing,Amoeba,Cacing,C,60,
16,Perkembangbiakan hewan dengan cara bertelur disebut...,Vivipar,Ovipar,Ovovivipar,Fragmentasi,B,60,
17,Cocor bebek berkembang biak secara vegetatif alami melalui...,Tunas batang,Tunas akar,Tunas daun,Umbi lapis,C,60,
18,Teknik perkembangbiakan buatan dengan cara mengelupas kulit batang dan membungkusnya dengan tanah disebut...,Stek,Mencangkok,Menempel,Merunduk,B,60,
19,Penyerbukan yang serbuk sarinya berasal dari bunga yang sama disebut...,Penyerbukan silang,Penyerbukan tetangga,Penyerbukan sendiri,Penyerbukan bastar,C,60,
20,Hydra berkembang biak secara vegetatif dengan cara...,Membelah diri,Tunas,Fragmentasi,Partenogenesis,B,60,
21,"Sifat yang dapat diamati secara fisik (seperti warna mata, bentuk rambut) disebut...",Genotype,Fenotipe,Alel,Kromosom,B,60,
22,Materi genetik yang membawa sifat keturunan disebut...,Sel darah,Enzim,Gen,Hormon,C,60,
23,Sifat yang menutupi sifat lainnya disebut sifat...,Resesif,Dominan,Intermediet,Homozigot,B,60,
24,Simbol untuk genotipe homozigot dominan adalah...,MM,Mm,mm,mM,A,60,
25,Bapak genetika dunia adalah...,Charles Darwin,Gregor Mendel,Louis Pasteur,Albert Einstein,B,60,
26,Jumlah kromosom pada sel tubuh manusia adalah...,23 pasang (46 buah),23 buah,46 pasang,22 pasang,A,60,
27,Kromosom penentu jenis kelamin disebut...,Autosom,Gonosom,Ribosom,Lisosom,B,60,
28,"Jika bunga merah (MM) disilangkan dengan bunga putih (mm) dan merah dominan, maka keturunannya (F1) berwarna...",Merah,Putih,Merah Muda,Belang,A,60,
29,Genotipe laki-laki ditunjukkan dengan simbol kromosom...,XX,XY,YY,XZ,B,60,
30,Kelainan genetik dimana darah sukar membeku disebut...,Anemia,Hemofilia,Leukimia,Hipertensi,B,60,
31,Benda yang kelebihan elektron akan bermuatan...,Positif,Negatif,Netral,Campuran,B,60,
32,Muatan listrik yang sejenis jika didekatkan akan...,Tarik-menarik,Tolak-menolak,Diam,Meledak,B,60,
33,Bagian atom yang bermuatan positif adalah...,Proton,Elektron,Neutron,Orbit,A,60,
34,Kaca yang digosok dengan kain sutra akan bermuatan positif karena...,Elektron pindah dari kain sutra ke kaca,Elektron pindah dari kaca ke kain sutra,Proton pindah dari kaca ke kain sutra,Proton pindah dari kain sutra ke kaca,B,60,
35,Alat yang digunakan untuk mendeteksi muatan listrik pada suatu benda adalah...,Mikroskop,Teleskop,Elektroskop,Stetoskop,C,60,
36,Gejala kelistrikan yang terjadi di alam berupa kilatan cahaya saat hujan adalah...,Pelangi,Petir,Angin,Hujan asam,B,60,
37,Bahan yang tidak dapat menghantarkan listrik disebut...,Konduktor,Isolator,Semikonduktor,Induktor,B,60,
38,Penggaris plastik yang digosokkan pada rambut kering dapat menarik potongan kertas kecil karena...,Penggaris menjadi magnet,Penggaris bermuatan listrik statis,Kertas bermuatan positif,Rambut basah,B,60,
39,Satuan muatan listrik adalah...,Ampere,Volt,Coulomb,Joule,C,60,
40,Gaya tarik-menarik atau tolak-menolak antara dua muatan listrik dijelaskan dalam Hukum...,Newton,Ohm,Coulomb,Archimedes,C,60,
